3344,0d1,A,SPD E,Dispatch East,Law Dispatch,Seattle Police,2
3408,0d5,A,SPD Data,Data,Law Talk,Seattle Police,2
3440,0d7,A,SPD Tac 1,Tactical 1,Law Tac,Seattle Police,1
3472,0d9,A,SPD Tac 2,Tactical 2,Law Tac,Seattle Police,1
3504,0db,A,SPD Tac 3,Tactical 3,Law Tac,Seattle Police,1
3536,0dd,A,SPD Tac 4,Tactical 4,Law Tac,Seattle Police,1
3568,0df,A,SPD Event 1,Event 1,Law Talk,Seattle Police,1
3600,0.00E+00,A,SPD Emerg,Emergency Button Talk Group,Law Tac,Seattle Police,1
3632,0.00E+00,A,SPD Tac E,Tactical East,Law Tac,Seattle Police,1
3664,0.00E+00,A,SPD Tac S,Tactical South,Law Tac,Seattle Police,1
3696,0.00E+00,A,SPD Tac N,Tactical North,Law Tac,Seattle Police,1
3728,0.00E+00,A,SPD Tac W,Tactical West,Law Tac,Seattle Police,1
3760,0eb,A,SPD INV TAC1,Investigative Tactical 1,Law Tac,Seattle Police,1
3792,0ed,A,SPD INV TAC2,Investigative Tactical 2,Law Tac,Seattle Police,1
3824,0ef,A,SPD CTR 1,Center 1,Law Talk,Seattle Police,1
3856,0f1,A,SPD CRT 2,Center 2,Law Talk,Seattle Police,2
3888,0f3,A,SPD Cmnd 1,Command 1,Law Talk,Seattle Police,2
3920,0f5,A,SPD Cmnd 2,Command 2,Law Talk,Seattle Police,2
